,datetime,price,year,month,day
481,2011-11-10 09:00:00,576000,2011,11,10
482,2011-11-11 08:30:00,573500,2011,11,11
483,2011-11-11 10:15:00,579500,2011,11,11
484,2011-11-14 08:45:00,588000,2011,11,14
485,2011-11-15 08:40:00,580000,2011,11,15
486,2011-11-16 08:20:00,582000,2011,11,16
487,2011-11-17 08:15:00,580000,2011,11,17
488,2011-11-18 09:40:00,572000,2011,11,18
489,2011-11-21 08:20:00,572000,2011,11,21
490,2011-11-22 08:20:00,565000,2011,11,22
491,2011-11-23 08:00:00,570000,2011,11,23
492,2011-11-24 08:00:00,570000,2011,11,24
493,2011-11-25 00:00:00,573000,2011,11,25
494,2011-11-28 08:10:00,573000,2011,11,28
495,2011-11-29 08:15:00,580000,2011,11,29
496,2011-11-30 08:10:00,585000,2011,11,30
497,2011-12-01 08:15:00,587000,2011,12,1
498,2011-12-02 08:15:00,578000,2011,12,2
499,2011-12-05 08:15:00,584000,2011,12,5
500,2011-12-06 08:30:00,572000,2011,12,6
501,2011-12-07 08:10:00,573000,2011,12,7
502,2011-12-08 08:20:00,576000,2011,12,8
503,2011-12-09 08:30:00,570000,2011,12,9
504,2011-12-12 08:30:00,569000,2011,12,12
505,2011-12-13 08:30:00,566000,2011,12,13
506,2011-12-14 08:40:00,562000,2011,12,14
507,2011-12-15 08:10:00,559000,2011,12,15
508,2011-12-16 08:15:00,650000,2011,12,16
509,2011-12-16 08:20:00,560000,2011,12,16
510,2011-12-19 08:45:00,564000,2011,12,19
511,2011-12-20 00:00:00,565000,2011,12,20
512,2011-12-21 08:15:00,569000,2011,12,21
513,2011-12-22 08:30:00,568000,2011,12,22
514,2011-12-23 08:15:00,567000,2011,12,23
515,2011-12-27 08:30:00,563000,2011,12,27
516,2011-12-28 08:30:00,563000,2011,12,28
517,2011-12-29 08:10:00,557000,2011,12,29
518,2011-12-30 08:30:00,555000,2011,12,30
519,2012-01-02 00:00:00,555000,2012,1,2
520,2012-01-03 00:00:00,559000,2012,1,3
521,2012-01-04 08:30:00,565000,2012,1,4
522,2012-01-05 00:00:00,566000,2012,1,5
523,2012-01-06 00:00:00,567000,2012,1,6
524,2012-01-09 08:30:00,565000,2012,1,9
525,2012-01-10 08:30:00,566000,2012,1,10
526,2012-01-11 08:30:00,570000,2012,1,11
527,2012-01-12 08:30:00,571000,2012,1,12
528,2012-01-13 08:30:00,572000,2012,1,13
529,2012-01-16 08:30:00,565000,2012,1,16
530,2012-01-17 08:30:00,566000,2012,1,17
531,2012-01-18 00:00:00,567000,2012,1,18
532,2012-01-19 08:30:00,564000,2012,1,19
533,2012-01-20 08:30:00,559000,2012,1,20
534,2012-01-24 08:30:00,559000,2012,1,24
535,2012-01-25 08:30:00,557000,2012,1,25
536,2012-01-26 08:30:00,571000,2012,1,26
537,2012-01-27 08:30:00,572000,2012,1,27
538,2012-01-30 08:15:00,573000,2012,1,30
539,2012-01-31 09:00:00,570000,2012,1,31
540,2012-02-01 08:00:00,571000,2012,2,1
541,2012-02-02 08:00:00,574000,2012,2,2
542,2012-02-03 08:00:00,569000,2012,2,3
543,2012-02-03 11:45:00,573000,2012,2,3
544,2012-02-06 08:30:00,565000,2012,2,6
545,2012-02-07 09:00:00,564000,2012,2,7
546,2012-02-08 08:30:00,570000,2012,2,8
547,2012-02-09 08:30:00,568000,2012,2,9
548,2012-02-10 08:20:00,566000,2012,2,10
549,2012-02-13 08:30:00,570000,2012,2,13
550,2012-02-14 09:00:00,570000,2012,2,14
551,2012-02-15 08:00:00,570000,2012,2,15
552,2012-02-16 08:00:00,572000,2012,2,16
553,2012-02-17 08:30:00,572000,2012,2,17
554,2012-02-20 08:30:00,576000,2012,2,20
555,2012-02-21 08:30:00,576000,2012,2,21
